run_id,run_short,repo,runtime,model,hint_profile,phase,execution_step,request_id,parent_run_id,prompt_preview,prompt_sha256,prompt_chars,prompt_lines,prompt_mentions_validation,tool_call_count,tools_called,patch_bytes
agentbench-20260602_190251,190251,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,execution,0,agentbench-20260602_190251::execution::0,agentbench-20260602_190251,"Phase: execution Use the plan to implement the SWE-bench fix in the workspace. Make focused code changes only. If the planning output only proposes more inspection, continue with the task prompt and inspect the necess...",ccd7fccd4b129065604b2321b9c9311a3220e8c9ca78876a9c1ecc3169923aa1,11161,191,True,4,read_file,0
agentbench-20260602_190251,190251,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,execution,1,agentbench-20260602_190251::execution::1,agentbench-20260602_190251,"Phase: execution_retry The previous execution attempt stalled with guard reason: read_only_tool_calls. Continue the same SWE-bench task. Do not write another plan, todo list, markdown code fence, or next-steps section...",598706a771d437e29389d235cb62a99328713840eb68ce3773faaa44e014410d,13111,576,True,1,read_file,0
agentbench-20260602_190251,190251,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,execution,2,agentbench-20260602_190251::execution::2,agentbench-20260602_190251,"Phase: execution_retry The previous execution attempt stalled with guard reason: read_only_tool_calls. Continue the same SWE-bench task. Do not write another plan, todo list, markdown code fence, or next-steps section...",343f7b9e8c2b33a9bf0cbb0be6b366f61de5d7ca38af87265b4719cf722e7d54,13470,585,True,1,read_file,0
agentbench-20260602_190500,190500,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,execution,0,agentbench-20260602_190500::execution::0,agentbench-20260602_190500,"Phase: execution Use the plan to implement the SWE-bench fix in the workspace. Make focused code changes only. If the planning output only proposes more inspection, continue with the task prompt and inspect the necess...",eb098dd7af7dac599933515077486da3fbc6bd8d403b2cd869c02395a6b53261,6760,121,True,0,none,0
agentbench-20260602_190500,190500,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,execution,1,agentbench-20260602_190500::execution::1,agentbench-20260602_190500,"Phase: execution_retry The previous execution attempt stalled with guard reason: no_tool_calls. Continue the same SWE-bench task. Do not write another plan, todo list, markdown code fence, or next-steps section. Use r...",ff1a5f3bcc5814dbee7b55bb298ff90478e734042ddec7df8bb0f66c6e6b669d,7346,140,True,0,none,0
agentbench-20260602_190500,190500,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,execution,2,agentbench-20260602_190500::execution::2,agentbench-20260602_190500,"Phase: execution_retry The previous execution attempt stalled with guard reason: no_tool_calls. Continue the same SWE-bench task. Do not write another plan, todo list, markdown code fence, or next-steps section. Use r...",ea7310e02840f06b8a585709370dac9ccc59ffdb535d8a357f7b0bf432b82537,7682,150,True,0,none,0
agentbench-20260602_190534,190534,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,execution,0,agentbench-20260602_190534::execution::0,agentbench-20260602_190534,"Phase: execution Use the plan to implement the SWE-bench fix in the workspace. Make focused code changes only. If the planning output only proposes more inspection, continue with the task prompt and inspect the necess...",bd8b3c773750314bf8ab8fbddc61b2765c7f5e83b3b217dd5c692f01ef7233a0,9206,101,True,1,read_file,0
agentbench-20260602_190534,190534,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,execution,1,agentbench-20260602_190534::execution::1,agentbench-20260602_190534,"Phase: execution_retry The previous execution attempt stalled with guard reason: read_only_tool_calls. Continue the same SWE-bench task. Do not write another plan, todo list, markdown code fence, or next-steps section...",679db11f62cba16e70ac59b78184b3a989c5d34c65aebcb61f587f0aef746393,9459,108,True,1,read_file,0
agentbench-20260602_190534,190534,NodeBB,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,execution,2,agentbench-20260602_190534::execution::2,agentbench-20260602_190534,"Phase: execution_retry The previous execution attempt stalled with guard reason: read_only_tool_calls. Continue the same SWE-bench task. Do not write another plan, todo list, markdown code fence, or next-steps section...",e219ab904919bf219cb15afed6a4cc4aeac8ef8aab940ea4d8306fbaf9aa6e67,11313,128,True,3,read_file,0
agentbench-20260602_190952,190952,qutebrowser,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse,execution,0,agentbench-20260602_190952::execution::0,agentbench-20260602_190952,"Phase: execution Use the plan to implement the SWE-bench fix in the workspace. Make focused code changes only. If the planning output only proposes more inspection, continue with the task prompt and inspect the necess...",e06e19e8b8343b92161f8354240724f6f7f561adee30459a6df089db47561c2d,8533,174,True,0,none,0
