run_id,run_short,timestamp,repo,instance_id,task_source,problem_statement_summary,problem_statement_preview,expected_agent_action,validation_expectation,base_commit,patch_expected,selected_test_count,selected_tests_preview,runtime,model,hint_profile
agentbench-20260602_190251,190251,20260602_190251,NodeBB/NodeBB,instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan,,Email Validation Status Not Handled Correctly in ACP and Confirmation Logic,"Email Validation Status Not Handled Correctly in ACP and Confirmation Logic The Admin Control Panel (ACP) does not accurately reflect the email validation status of users. Also, validation and confirmation processes r...",fix validation logic,no explicit validation command provided,1e137b07052bc3ea0da44ed201702c94055b8ad2,True,0,,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse
agentbench-20260602_190500,190500,20260602_190500,qutebrowser/qutebrowser,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,,The `hide_qt_warning` function and its associated tests have been moved from `log.py` to `qtlog.py` to better organize Qt-specific logging functionality.,The `hide_qt_warning` function and its associated tests have been moved from `log.py` to `qtlog.py` to better organize Qt-specific logging functionality. The tests need to be relocated to ensure they continue validati...,refactor code organization,no explicit validation command provided,ebfe9b7aa0c4ba9d451f993e08955004aaec4345,True,0,,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse
agentbench-20260602_190534,190534,20260602_190534,NodeBB/NodeBB,instance_NodeBB__NodeBB-51d8f3b195bddb13a13ddc0de110722774d9bb1b-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,,"Move .well-known assets to separate router file, add a basic webfinger implementation","Federated identity discovery via the `.well-known/webfinger` endpoint is not currently supported. Additionally, the redirect logic for `.well-known/change-password` is embedded in an unrelated route file, making route...",modify routing/controller logic,no explicit validation command provided,da2441b9bd293d7188ee645be3322a7305a43a19,True,0,,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse
agentbench-20260602_190952,190952,20260602_190952,qutebrowser/qutebrowser,instance_qutebrowser__qutebrowser-c580ebf0801e5a3ecabc54f327498bb753c6d5f2-v2ef375ac784985212b1805e1d0431dc8f1b3c171,,Host blocking does not apply to subdomains when only the parent domain is listed,"Host blocking does not apply to subdomains when only the parent domain is listed In the hosts-based blocking method, requests are only blocked if the exact request hostname matches an entry in either the dynamically l...",fix host-matching logic,no explicit validation command provided,0b8cc812fd0b73e296a3f93db02ce5d0b35714fc,True,0,,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse
agentbench-20260602_193512,193512,20260602_193512,NodeBB/NodeBB,instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan,,Email Validation Status Not Handled Correctly in ACP and Confirmation Logic,"Email Validation Status Not Handled Correctly in ACP and Confirmation Logic The Admin Control Panel (ACP) does not accurately reflect the email validation status of users. Also, validation and confirmation processes r...",fix validation logic,no explicit validation command provided,1e137b07052bc3ea0da44ed201702c94055b8ad2,True,0,,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse
agentbench-20260602_193615,193615,20260602_193615,qutebrowser/qutebrowser,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,,The `hide_qt_warning` function and its associated tests have been moved from `log.py` to `qtlog.py` to better organize Qt-specific logging functionality.,The `hide_qt_warning` function and its associated tests have been moved from `log.py` to `qtlog.py` to better organize Qt-specific logging functionality. The tests need to be relocated to ensure they continue validati...,refactor code organization,no explicit validation command provided,ebfe9b7aa0c4ba9d451f993e08955004aaec4345,True,0,,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse
agentbench-20260602_193649,193649,20260602_193649,NodeBB/NodeBB,instance_NodeBB__NodeBB-51d8f3b195bddb13a13ddc0de110722774d9bb1b-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,,"Move .well-known assets to separate router file, add a basic webfinger implementation","Federated identity discovery via the `.well-known/webfinger` endpoint is not currently supported. Additionally, the redirect logic for `.well-known/change-password` is embedded in an unrelated route file, making route...",modify routing/controller logic,no explicit validation command provided,da2441b9bd293d7188ee645be3322a7305a43a19,True,0,,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse
agentbench-20260602_193924,193924,20260602_193924,qutebrowser/qutebrowser,instance_qutebrowser__qutebrowser-c580ebf0801e5a3ecabc54f327498bb753c6d5f2-v2ef375ac784985212b1805e1d0431dc8f1b3c171,,Host blocking does not apply to subdomains when only the parent domain is listed,"Host blocking does not apply to subdomains when only the parent domain is listed In the hosts-based blocking method, requests are only blocked if the exact request hostname matches an entry in either the dynamically l...",fix host-matching logic,no explicit validation command provided,0b8cc812fd0b73e296a3f93db02ce5d0b35714fc,True,0,,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse
agentbench-20260602_195404,195404,20260602_195404,NodeBB/NodeBB,instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan,,Email Validation Status Not Handled Correctly in ACP and Confirmation Logic,"Email Validation Status Not Handled Correctly in ACP and Confirmation Logic The Admin Control Panel (ACP) does not accurately reflect the email validation status of users. Also, validation and confirmation processes r...",fix validation logic,no explicit validation command provided,1e137b07052bc3ea0da44ed201702c94055b8ad2,True,0,,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse
agentbench-20260602_195450,195450,20260602_195450,qutebrowser/qutebrowser,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,,The `hide_qt_warning` function and its associated tests have been moved from `log.py` to `qtlog.py` to better organize Qt-specific logging functionality.,The `hide_qt_warning` function and its associated tests have been moved from `log.py` to `qtlog.py` to better organize Qt-specific logging functionality. The tests need to be relocated to ensure they continue validati...,refactor code organization,no explicit validation command provided,ebfe9b7aa0c4ba9d451f993e08955004aaec4345,True,0,,upstream,Qwen/Qwen2.5-Coder-7B-Instruct,high-reuse
