phase,hint_name,hint_value_sent,hint_source,request_wrapper_observed,dynamo_frontend_observed,dynamo_frontend_state,sglang_worker_observed,sglang_worker_state,expected_runtime_effect,observed_runtime_effect,claim_level,status,evidence
planning,agent_phase,planning,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,The phase label should match the request/run phase for traceability.,The phase label matched the runtime event phase.,metadata_matched,metadata_matched,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; event_phase=planning; hint_agent_phase=planning.
planning,context_type,software_engineering_long_horizon,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,The workload label should be retained as observability metadata.,"This hint is treated as trace metadata, not a worker behavior instruction.",metadata_only,metadata_only,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; metadata-only hint; no runtime effect expected unless a component explicitly consumes it.
planning,expected_output_tokens,768,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,The runtime should use a generation budget consistent with this value.,"Completion token count was recorded, but it did not prove the hint controlled generation.",propagated_to_request,not_proven,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; completion_tokens=83; finish_reason=stop.
planning,hint_probe_id,agentbench-nodebb_20260528_112634::planning::0,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,The probe marker should appear in every layer that receives the hint payload.,The probe marker was available for layer-by-layer propagation checks.,probe_present_request_only,request_only,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; hint_probe_id=agentbench-nodebb_20260528_112634::planning::0.
planning,latency_sensitivity,0.7,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,Routing or scheduling should prefer lower latency when there is a real choice.,"Latency was measured, but no latency policy decision was logged.",propagated_to_request,not_proven,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; ttft_ms=-; end_to_end_ms=9339.763. Latency sensitivity needs routing or queue-policy evidence to prove it was respected.
planning,phase_sequence_index,0,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,No expected runtime effect has been defined for this hint.,No runtime-effect rule has been defined for this hint yet.,propagated_to_request,not_proven,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; effect_rule=-.
planning,priority,5,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,A scheduler should be able to prefer this request when there is contention.,"The scheduler selected a worker, but no priority-specific decision was logged.",propagated_to_request,not_proven,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; worker_id=7587895148303932453; dp_rank=0; logit=264.828. Priority needs queue/competition evidence to prove it was respected.
planning,program_id,agentbench.deepagents_app,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,The program label should be retained as observability metadata.,"This hint is treated as trace metadata, not a worker behavior instruction.",metadata_only,metadata_only,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; metadata-only hint; no runtime effect expected unless a component explicitly consumes it.
planning,reuse_likelihood,0.9,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,Cache/routing behavior should show reuse when useful context is available.,No cache reuse evidence was observed for this request.,propagated_to_request,not_proven,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; cached_token_count=0.
execution,agent_phase,execution,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,The phase label should match the request/run phase for traceability.,The phase label matched the runtime event phase.,metadata_matched,metadata_matched,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; event_phase=execution; hint_agent_phase=execution.
execution,context_type,software_engineering_long_horizon,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,The workload label should be retained as observability metadata.,"This hint is treated as trace metadata, not a worker behavior instruction.",metadata_only,metadata_only,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; metadata-only hint; no runtime effect expected unless a component explicitly consumes it.
execution,expected_output_tokens,2048,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,The runtime should use a generation budget consistent with this value.,"Completion token count was recorded, but it did not prove the hint controlled generation.",propagated_to_request,not_proven,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; completion_tokens=83; finish_reason=stop.
execution,hint_probe_id,agentbench-nodebb_20260528_112634::execution::0,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,The probe marker should appear in every layer that receives the hint payload.,The probe marker was available for layer-by-layer propagation checks.,probe_present_request_only,request_only,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; hint_probe_id=agentbench-nodebb_20260528_112634::execution::0.
execution,latency_sensitivity,0.7,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,Routing or scheduling should prefer lower latency when there is a real choice.,"Latency was measured, but no latency policy decision was logged.",propagated_to_request,not_proven,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; ttft_ms=-; end_to_end_ms=15261.351. Latency sensitivity needs routing or queue-policy evidence to prove it was respected.
execution,phase_sequence_index,0,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,No expected runtime effect has been defined for this hint.,No runtime-effect rule has been defined for this hint yet.,propagated_to_request,not_proven,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; effect_rule=-.
execution,priority,5,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,A scheduler should be able to prefer this request when there is contention.,"The scheduler selected a worker, but no priority-specific decision was logged.",propagated_to_request,not_proven,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; worker_id=7587895148303932453; dp_rank=0; logit=160.469. Priority needs queue/competition evidence to prove it was respected.
execution,program_id,agentbench.deepagents_app,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,The program label should be retained as observability metadata.,"This hint is treated as trace metadata, not a worker behavior instruction.",metadata_only,metadata_only,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; metadata-only hint; no runtime effect expected unless a component explicitly consumes it.
execution,reuse_likelihood,0.9,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,Cache/routing behavior should show reuse when useful context is available.,No cache reuse evidence was observed for this request.,propagated_to_request,not_proven,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; cached_token_count=0.
patch_generation,agent_phase,patch_generation,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,The phase label should match the request/run phase for traceability.,The phase label matched the runtime event phase.,metadata_matched,metadata_matched,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; event_phase=patch_generation; hint_agent_phase=patch_generation.
patch_generation,context_type,software_engineering_long_horizon,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,The workload label should be retained as observability metadata.,"This hint is treated as trace metadata, not a worker behavior instruction.",metadata_only,metadata_only,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; metadata-only hint; no runtime effect expected unless a component explicitly consumes it.
patch_generation,expected_output_tokens,1024,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,The runtime should use a generation budget consistent with this value.,"Completion token count was recorded, but it did not prove the hint controlled generation.",propagated_to_request,not_proven,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; completion_tokens=83; finish_reason=stop.
patch_generation,hint_probe_id,agentbench-nodebb_20260528_112634::patch_generation::0,AgentBench Runner -> Deep Agents Request Wrapper,True,False,not_logged,False,not_logged,The probe marker should appear in every layer that receives the hint payload.,The probe marker was available for layer-by-layer propagation checks.,probe_present_request_only,request_only,request_wrapper_observed=True; dynamo_frontend_state=not_logged; sglang_worker_state=not_logged; hint_probe_id=agentbench-nodebb_20260528_112634::patch_generation::0.
