step,checked_true,severity,component,when,runtime_signal,evidence_value,meaning_short,failure_meaning,where,what_it_means,code_snippet,evidence_source,request_role,arm,prefill_metric
1,true,critical,harness,Harness attaches speculative-prefill hint,hint_status=on / spec_prefill=True,protected_rows=5; hint_status_values=['on'],The protected request carried the speculative prefill hint.,The protected arm did not send the speculative-prefill hint.,[run_speculative_prefill_probe.py:716](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/speculative_prefill/run_speculative_prefill_probe.py:716),The protected arm sends `nvext.agent_hints.speculative_prefill=true`.,"""speculative_prefill"": spec_prefill",matrix CSV / requests CSV,turn_a,protected,hint_status
2,true,critical,harness/runtime,Harness names the target turn B request,spec_prefill_target_request_id / prefill_target_seen,prefill_target_seen_rows=0; runtime_target_mentions=360,The warmup knew which next request it was meant to help.,The run did not prove that the warmup targeted turn B.,[run_speculative_prefill_probe.py:718](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/speculative_prefill/run_speculative_prefill_probe.py:718),The hint carries the exact turn-B request id that the warmup should target.,"""spec_prefill_target_request_id"": target_request_id",experiments/reports/speculative_prefill/speculative_prefill_microbenchmark_20260703_000316__sweep_1/speculative_prefill_worker_runtime.log; experiments/reports/speculative_prefill/speculative_prefill_microbenchmark_20260703_000316__sweep_2/speculative_prefill_worker_runtime.log; experiments/reports/speculative_prefill/speculative_prefill_microbenchmark_20260703_000316__sweep_3/speculative_prefill_worker_runtime.log (+2 more),turn_a -> turn_b,protected,prefill_target_seen
3,true,critical,dynamo schema,Dynamo declares the typed hint field,source schema + protected hint row,protected_hint_sent=True,Dynamo has a typed speculative-prefill hint field.,The source tree does not expose the speculative-prefill hint field.,[nvext.rs:426](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/lib/llm/src/protocols/openai/nvext.rs:426),Dynamo's OpenAI nvext schema has a real `speculative_prefill` field.,pub speculative_prefill: Option<bool>,source schema + matrix CSV,all,protected,schema
4,false,critical,dynamo preprocessor,Dynamo calls the speculative-prefill wrapper,worker.spec_prefill.wrap_checked,wrap_checked_events=0; prefill_wrap_values=['missing'],The speculative-prefill wrapper ran.,The runtime did not show that the speculative-prefill wrapper ran.,[preprocessor.rs:1819](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/lib/llm/src/preprocessor.rs:1819),The normal response stream passes through the speculative-prefill decision path.,let final_stream = speculative_prefill::maybe_wrap_stream(,matrix CSV,turn_a,protected,prefill_wrap
5,false,critical,dynamo preprocessor,Prefill gate reads the hint,worker.spec_prefill.wrap_checked enabled=true,wrap_checked_events=0; protected_hint_sent=True; prefill_wrap_values=['missing'],The protected hint enabled the prefill path.,The runtime did not show the protected hint enabling the prefill gate.,[speculative_prefill.rs:198](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/lib/llm/src/preprocessor/speculative_prefill.rs:198),The decision gate reads `hints.speculative_prefill` and decides whether to continue.,.and_then(|hints| hints.speculative_prefill),matrix CSV,turn_a,protected,prefill_wrap
6,false,critical,dynamo preprocessor,Prefill task is spawned,worker.spec_prefill.task_spawned / prefill_spawned,task_spawned_events=0; prefill_spawned_rows=0,A background prefill task was spawned.,The runtime did not show a background prefill task.,[speculative_prefill.rs:219](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/lib/llm/src/preprocessor/speculative_prefill.rs:219),Dynamo launches the background task that will build the next-turn warmup.,"""worker.spec_prefill.task_spawned""",matrix CSV,turn_a,protected,prefill_spawned
7,false,critical,dynamo preprocessor,Warmup prompt is rendered,worker.spec_prefill.prefill_rendered / prefill_tokens,prefill_rendered_events=0; max_prefill_tokens=0,The warmup prompt was rendered and tokenized.,The runtime did not show a rendered warmup prompt.,[speculative_prefill.rs:327](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/lib/llm/src/preprocessor/speculative_prefill.rs:327),Dynamo rendered the predicted next-turn prefix and counted its tokens.,"""worker.spec_prefill.prefill_rendered""",matrix CSV,warmup,protected,prefill_tokens
8,false,critical,dynamo preprocessor,Warmup request is sent,worker.spec_prefill.prefill_sent / prefill_sent,prefill_sent_events=0; prefill_sent_rows=0,The warmup request was sent into the backend.,The runtime did not show the warmup request being sent.,[speculative_prefill.rs:356](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/lib/llm/src/preprocessor/speculative_prefill.rs:356),Dynamo sends the synthetic `max_tokens=1` warmup request into the backend path.,"""worker.spec_prefill.prefill_sent""",matrix CSV,warmup,protected,prefill_sent
9,false,critical,dynamo preprocessor,Warmup request completes,worker.spec_prefill.prefill_completed / prefill_done,prefill_completed_events=0; prefill_done_rows=0,The warmup request completed.,The runtime did not show the warmup request completing.,[speculative_prefill.rs:374](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/lib/llm/src/preprocessor/speculative_prefill.rs:374),Dynamo drains the warmup stream so the prefill lifecycle completes.,"""worker.spec_prefill.prefill_completed""",matrix CSV,warmup,protected,prefill_done
10,false,critical,postprocess,Probe parses worker speculative-prefill events,spec_events,spec_prefill_runtime_events=0; usable_effect=True,Runtime prefill events were parsed into the report.,The report did not see speculative-prefill runtime events.,[run_speculative_prefill_probe.py:1000](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/speculative_prefill/run_speculative_prefill_probe.py:1000),Postprocess collects `worker.spec_prefill.*` events from the worker runtime log.,"elif event_type.startswith(""worker.spec_prefill.""):",experiments/reports/speculative_prefill/speculative_prefill_microbenchmark_20260703_000316__sweep_1/speculative_prefill_worker_runtime.log; experiments/reports/speculative_prefill/speculative_prefill_microbenchmark_20260703_000316__sweep_2/speculative_prefill_worker_runtime.log; experiments/reports/speculative_prefill/speculative_prefill_microbenchmark_20260703_000316__sweep_3/speculative_prefill_worker_runtime.log (+2 more),all,protected,runtime parser
