step,when,where,what_it_means,code_snippet,runtime_signal,evidence_source,evidence_value,request_role,checked_true,failure_meaning
1,Harness sends request,[run_kv_retention_probe.py:1295](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/retention_probe/run_kv_retention_probe.py:1295),AgentBench starts timing the HTTP request and sends the prompt plus nvext metadata.,"start = time.perf_counter()
status, response_json, error = post_json(...)",retention_probe_requests.csv rows with request metadata,requests CSV,rows=1074; files=experiments/reports/retention_probe/kv_retention_microbenchmark_20260706_224403__sweep_Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__d100_Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__high-priority__off_/retention_probe_requests.csv; experiments/reports/retention_probe/kv_retention_microbenchmark_20260706_224403__sweep_Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__d100_Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__none__off__control/retention_probe_requests.csv; experiments/reports/retention_probe/kv_retention_microbenchmark_20260706_224403__sweep_Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__d125_Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__high-priority__off_/retention_probe_requests.csv (+9 more),all,true,"The harness did not produce request rows, so the run cannot be tied back to prompt/hint metadata."
2,Frontend finishes preprocessing,[sglang_processor.py:436](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/frontend/sglang_processor.py:436),Dynamo frontend tokenized/preprocessed the request while preserving request context and hints.,"emit_runtime_event(...)
""frontend.request.preprocessed""",frontend.request.preprocessed,frontend log not captured,count=0,all,false,Frontend runtime logs were missing or did not show preprocessing for this run.
3,Frontend dispatches request,[sglang_processor.py:579](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/frontend/sglang_processor.py:579),Dynamo frontend handed the preprocessed request to the router/worker path.,"emit_runtime_event(...)
""frontend.request.dispatched""",frontend.request.dispatched,frontend log not captured,count=0,all,false,Frontend runtime logs did not show the request being dispatched toward the worker path.
4,Worker receives request,[decode_handler.py:482](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/sglang/request_handlers/llm/decode_handler.py:482),Dynamo worker received the request before generation starts.,"emit_runtime_event(...)
""worker.decode.request_received""",worker.decode.request_received,experiments/reports/retention_probe_batches/kv_retention_microbenchmark_20260706_224403__sweep_Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__d100/Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__high-priority__off__worker_runtime.log; experiments/reports/retention_probe_batches/kv_retention_microbenchmark_20260706_224403__sweep_Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__d100/Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__none__off__worker_runtime.log; experiments/reports/retention_probe_batches/kv_retention_microbenchmark_20260706_224403__sweep_Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__d125/Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__high-priority__off__worker_runtime.log (+9 more),count=5243,all,true,Worker runtime logs did not show the request entering the decode handler.
5,Worker reads routed priority,[decode_handler.py:493](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/sglang/request_handlers/llm/decode_handler.py:493),Worker extracts the routed top-level priority value when that path is enabled.,"priority = (request.get(""routing"") or {}).get(""priority"")",request CSV priority / matrix req_prio_status,requests CSV / matrix CSV,protected_hint_rows=12; req_prio_status=none,protected,true,No request-level priority evidence was found. This can be expected when top-level priority is disabled.
6,Worker forwards priority into SGLang,[decode_handler.py:528](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/sglang/request_handlers/llm/decode_handler.py:528),Worker forwards the routed priority into the live SGLang generation call.,"decode = await self.engine.async_generate(...)
**self._priority_kwargs(priority)",worker_prio_status / SGLang priority metadata,matrix CSV / SGLang logs,worker_prio_status=none; sglang_priority_events=1581,protected,true,The run did not expose worker/SGLang priority evidence. Check precise attribution and SGLang priority markers.
7,Worker attaches to SGLang request id,[decode_handler.py:647](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/sglang/request_handlers/llm/decode_handler.py:647),"SGLang produced a request id, allowing Dynamo request rows to join with SGLang runtime events.","emit_runtime_event(...)
""worker.decode.request_attached""
sglang_request_id=sglang_request_id",worker.decode.request_attached,experiments/reports/retention_probe_batches/kv_retention_microbenchmark_20260706_224403__sweep_Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__d100/Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__high-priority__off__worker_runtime.log; experiments/reports/retention_probe_batches/kv_retention_microbenchmark_20260706_224403__sweep_Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__d100/Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__none__off__worker_runtime.log; experiments/reports/retention_probe_batches/kv_retention_microbenchmark_20260706_224403__sweep_Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__d125/Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__high-priority__off__worker_runtime.log (+9 more),count=5243,all,true,"The worker did not expose an SGLang request id, so SGLang events cannot be safely joined to the request."
8,SGLang priority/cache path executes,[patch_sglang_transfer_logging.py:1542](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/runtime_instrumentation/sglang_transfer_logging/patch_sglang_transfer_logging.py:1542),Instrumented SGLang emits priority/cache events when the patched runtime path executes.,"payload = {""event"": ""sglang.priority"", ""action"": action, ...}
print(line, file=sys.stderr, flush=True)",sglang.priority or sglang.cache,experiments/raw/sglang_transfer_logs/latest_sglang_transfer_events.jsonl,sglang.priority=1581; sglang.cache=20574,protected,true,No SGLang priority/cache event was observed. Check transfer logging and precise SGLang overlay.
9,Worker completes request,[decode_handler.py:730](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/sglang/request_handlers/llm/decode_handler.py:730),"Worker logs final usage, cached-token evidence, finish reason, and request context.","emit_runtime_event(...)
""worker.decode.request_completed""
completion_usage=out[""completion_usage""]",worker.decode.request_completed,experiments/reports/retention_probe_batches/kv_retention_microbenchmark_20260706_224403__sweep_Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__d100/Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__high-priority__off__worker_runtime.log; experiments/reports/retention_probe_batches/kv_retention_microbenchmark_20260706_224403__sweep_Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__d100/Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__none__off__worker_runtime.log; experiments/reports/retention_probe_batches/kv_retention_microbenchmark_20260706_224403__sweep_Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__d125/Qwen_Qwen2_5-Coder-7B-Instruct__gpu_only__high-priority__off__worker_runtime.log (+9 more),count=5243,all,true,Worker runtime logs did not show request completion.
10,Frontend completes stream,[sglang_processor.py:667](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/frontend/sglang_processor.py:667),Frontend observed the final response chunk and logged completion.,"emit_runtime_event(...)
""frontend.request.completed""",frontend.request.completed,frontend log not captured,count=0,all,false,Frontend runtime logs did not show stream completion for the request.
