step,when,where,what_it_means,code_snippet,runtime_signal,evidence_source,evidence_value,experiment_part,cache_control_path,evidence_metric,checked_true,failure_meaning
1,Contract pins isolated upstream stack,[cache_pinning_microbenchmark.contract.sh:19](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/contracts/cache_pinning_microbenchmark.contract.sh:19),Exp10 uses the isolated Dynamo and SGLang cache-pinning PR refs instead of the generic precise stack.,"CACHE_PINNING_DYNAMO_SOURCE_REF
CACHE_PINNING_SGLANG_SOURCE_REF",run_contract.json contract_env source refs,run contract,dynamo_ref=7d3d4ec8e4ae865af2f903b21b4afabca28e1940; sglang_ref=ff2f70b0fcb6b3ea130c46927ed98edf69d5c17c,whole run,contract,pinned refs,true,The run may have drifted to a different upstream source.
2,Contract enables cache-control frontend path,[cache_pinning_microbenchmark.contract.sh:35](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/contracts/cache_pinning_microbenchmark.contract.sh:35),The frontend is expected to expose the cache-control flag and use KV-router mode.,"CACHE_PINNING_FRONTEND_FLAG_VALUE:=--enable-cache-control
CACHE_PINNING_ROUTER_MODE:=kv",frontend_flag / router_mode,run contract,flag=--enable-cache-control; enable=1; router=kv,whole run,frontend,frontend flag,true,The frontend may not accept or forward cache-control metadata.
3,Contract enables HiCache pin budget,[cache_pinning_microbenchmark.contract.sh:44](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/contracts/cache_pinning_microbenchmark.contract.sh:44),Cache pinning needs hierarchical cache plus a nonzero pinned ratio.,"CACHE_PINNING_PINNED_RATIO:=0.1
SGLANG_HICACHE_MAX_PINNED_RATIO",pinned ratio / hicache write policy,run contract,pinned_ratio=0.1; sglang_pinned_ratio=0.1; hicache_ratio=1; write_policy=write_through,whole run,worker,HiCache knobs,true,The worker may receive the hint but have no usable pin budget.
4,Wrapper launches doc validation,[run_cache_pinning_microbenchmark_single_host.sh:280](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/agentbench/run_cache_pinning_microbenchmark_single_host.sh:280),The public wrapper runs the doc-style validation path with the contract TTL and pinning knobs.,"CACHE_PINNING_DOC_ID
CACHE_PINNING_TTL
CACHE_PINNING_PINNED_RATIO",validate_run_id,matrix CSV / summary CSV,validate_rows=3; validate_run_id=cache_pinning_microbenchmark_20260707_020650__validate,validate,wrapper,validate run id,true,The validation phase did not run or its run id was not recorded.
5,Validation request sends cache_control,[run_cache_pinning_doc_validation.py:317](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/cache_pinning/run_cache_pinning_doc_validation.py:317),Both validation turns send `nvext.cache_control` with the requested type and TTL.,"""nvext"": {""cache_control"": {""type"": args.cache_control_type, ""ttl"": args.ttl}}",matrix cache_control=ephemeral:<ttl>,matrix CSV,validate_cache_control_values=['ephemeral:1h'],validate,request,cache_control payload,true,The request did not carry cache-control metadata.
6,Router logs cache-control receipt,[repair_cache_pinning_dynamo_source.py:98](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/runtime_instrumentation/repair_cache_pinning_dynamo_source.py:98),The Dynamo router logs when it sees cache-control TTL on the routed request.,"""event_type"": ""router.cache_control_seen""",router.cache_control_seen,experiments/reports/cache_pinning_doc_validation/cache_pinning_microbenchmark_20260707_020650__validate/cache_pinning_doc_frontend.log,log_count=3; router_pin=spawned,validate,router,router seen,true,The router did not see cache-control metadata.
7,Router creates pin state,[repair_cache_pinning_dynamo_source.py:128](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/runtime_instrumentation/repair_cache_pinning_dynamo_source.py:128),"The router builds pin state with TTL, token ids, and worker id.","""event_type"": ""router.pin_state_created""",router.pin_state_created / router_pin,experiments/reports/cache_pinning_doc_validation/cache_pinning_microbenchmark_20260707_020650__validate/cache_pinning_doc_frontend.log,log_count=2; router_pin=spawned,validate,router,pin state,true,The router saw cache-control but could not form a pin request.
8,Router spawns pin-prefix request,[repair_cache_pinning_dynamo_source.py:175](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/runtime_instrumentation/repair_cache_pinning_dynamo_source.py:175),"After generation, the router sends the prefix-pin RPC to the worker.","""event_type"": ""router.pin_prefix_spawned""",router.pin_prefix_spawned / router_pin=spawned,experiments/reports/cache_pinning_doc_validation/cache_pinning_microbenchmark_20260707_020650__validate/cache_pinning_doc_frontend.log,log_count=2; router_pin=spawned,validate,router-to-worker,pin RPC spawned,true,The router never spawned the worker pin request.
9,Worker exposes cache-control endpoint,[repair_cache_pinning_dynamo_source.py:54](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/runtime_instrumentation/repair_cache_pinning_dynamo_source.py:54),The Dynamo worker serves the cache-control endpoint used by the router pin RPC.,cache_control_endpoint.serve_endpoint(,source readiness / live validation,source check,cache_control_endpoint.serve_endpoint source snippet present,validate,worker endpoint,cache_control endpoint,true,The worker cannot receive router pin RPCs.
10,SGLang worker logs pin_prefix applied,[repair_cache_pinning_sglang_source.py:51](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/runtime_instrumentation/repair_cache_pinning_sglang_source.py:51),The SGLang radix cache applies TTL pinning to the protected prefix.,"""worker.pin_prefix_applied""",worker.pin_prefix_applied / worker_pin=applied,experiments/reports/cache_pinning_doc_validation/cache_pinning_microbenchmark_20260707_020650__validate/cache_pinning_doc_worker.log,log_count=1; worker_pin=applied,validate,worker radix cache,worker pin applied,true,The worker did not apply prefix pinning.
