step,checked_true,severity,component,when,runtime_signal,evidence_value,meaning_short,failure_meaning,where,what_it_means,code_snippet,evidence_source,request_role,priority_class,order_metric
1,true,critical,harness,Harness builds low/high request specs,latest_priority_scheduling_requests.csv request/prio_class rows,low_rows=8; high_rows=4,The request burst contains both low and high priority work.,The request table does not show both low and high priority classes.,[run_priority_scheduling_probe.py:797](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/priority_scheduling/run_priority_scheduling_probe.py:797),The harness creates a mixed burst with low-priority and high-priority requests.,"priority_class=""low-priority""
priority_class=""high-priority""",priority request/proof CSV,all,"low-priority, high-priority",arrival_index
2,true,critical,harness,Harness attaches priority hint,worker_hint_prio / hint_seen,"worker_hint_values=['1', '10']; hint_seen=True",Requests carried priority hint metadata.,The request/proof table did not show hint priority values.,[run_priority_scheduling_probe.py:496](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/priority_scheduling/run_priority_scheduling_probe.py:496),Each request gets an `nvext.agent_hints.priority` value.,"payload[""priority""] = priority_value",priority request/proof CSV / matrix CSV,all,"low-priority, high-priority",hint value
3,true,warning,harness,Harness optionally sends top-level priority,sent_top_prio / top_level_priority_sent,sent_top_prio_values=['False'],Top-level priority was attempted when the runtime supported it.,Top-level priority was not sent or was unsupported. This is acceptable when hint metadata still reaches the worker.,[run_priority_scheduling_probe.py:913](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/priority_scheduling/run_priority_scheduling_probe.py:913),"When supported, the script also sends a top-level OpenAI-compatible `priority` field.","payload[""priority""] = priority",priority request/proof CSV,all,high-priority,top-level priority
4,false,warning,frontend,Dynamo frontend preprocesses request,frontend.request.preprocessed,count=0,Frontend preprocessing evidence was captured.,Frontend runtime logs were missing or did not show preprocessing.,[sglang_processor.py:436](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/frontend/sglang_processor.py:436),Dynamo frontend tokenizes/preprocesses the hinted request.,"emit_runtime_event(...)
""frontend.request.preprocessed""",frontend log not captured,all,"low-priority, high-priority",frontend runtime
5,false,warning,frontend,Dynamo frontend dispatches request,frontend.request.dispatched,count=0,Frontend dispatch evidence was captured.,Frontend runtime logs did not show dispatch into the serving path.,[sglang_processor.py:579](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/frontend/sglang_processor.py:579),Dynamo frontend hands the request to the router/worker path.,"emit_runtime_event(...)
""frontend.request.dispatched""",frontend log not captured,all,"low-priority, high-priority",frontend runtime
6,true,critical,worker,Worker receives request,worker.decode.request_received,log_count=124; runtime_match_rows=12,Dynamo worker received the priority requests.,Worker runtime logs did not show the request entering the decode handler.,[decode_handler.py:482](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/sglang/request_handlers/llm/decode_handler.py:482),Dynamo worker receives the request before generation starts.,"emit_runtime_event(...)
""worker.decode.request_received""",experiments/reports/priority_scheduling/priority_scheduling_microbenchmark_20260702_235604__sweep_1/priority_scheduling_worker_runtime.log; experiments/reports/priority_scheduling/priority_scheduling_microbenchmark_20260702_235604__sweep_2/priority_scheduling_worker_runtime.log; experiments/reports/priority_scheduling/priority_scheduling_microbenchmark_20260702_235604__sweep_3/priority_scheduling_worker_runtime.log (+1 more),all,"low-priority, high-priority",worker runtime
7,true,critical,worker,Worker reads routed priority,worker_top_prio / worker_hint_prio / hint_path_status,hint_seen=True; worker_hint_rows=12,Worker-side logs or rows saw priority metadata.,The worker did not expose priority metadata. Check precise attribution and request-context forwarding.,[decode_handler.py:493](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/sglang/request_handlers/llm/decode_handler.py:493),Worker extracts routed priority from the request routing metadata.,"priority = (request.get(""routing"") or {}).get(""priority"")",matrix CSV / priority request/proof CSV,all,high-priority,worker priority value
8,true,warning,worker/sglang,Worker forwards priority into SGLang,worker.decode generation kwargs / SGLang priority metadata,sglang.priority=404; matrix_hint_seen=True,SGLang priority-path evidence was visible.,No worker/SGLang priority evidence was found.,[decode_handler.py:542](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/sglang/request_handlers/llm/decode_handler.py:542),Worker forwards priority into the live SGLang generation call.,**self._priority_kwargs(priority),experiments/raw/sglang_transfer_logs/latest_sglang_transfer_events.jsonl,all,high-priority,worker/SGLang priority
9,true,critical,worker,Worker attaches request to SGLang id,worker_request_attached_timestamp / attached_rank,attached_rank_rows=12,Worker attach order was reconstructed.,"No attach timestamp/rank was found, so jump-ahead order cannot be proven.",[decode_handler.py:647](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/sglang/request_handlers/llm/decode_handler.py:647),"SGLang produced a request id, so worker runtime timestamps can be joined to the script request rows.","emit_runtime_event(...)
""worker.decode.request_attached""
sglang_request_id=sglang_request_id",priority request/proof CSV,all,"low-priority, high-priority",attached_rank
10,true,warning,worker,Worker completes request,worker_request_completed_timestamp / completed_rank,completed_rank_rows=12,Worker completion order was reconstructed.,No completion timestamp/rank was found.,[decode_handler.py:730](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/sglang/request_handlers/llm/decode_handler.py:730),"Worker logs completion, giving completion timestamps and request usage.","emit_runtime_event(...)
""worker.decode.request_completed""",priority request/proof CSV,all,"low-priority, high-priority",completed_rank
