step,checked_true,severity,component,when,runtime_signal,evidence_value,meaning_short,failure_meaning,where,what_it_means,code_snippet,evidence_source,request_role,sensitivity_class,order_metric
1,false,critical,contract,Contract selects latency-sensitivity mode,run_contract.json PRIORITY_HINT_KIND / matrix hint_kind,contract_PRIORITY_HINT_KIND=; matrix_hint_kind_latency=False,The run selected latency-sensitivity mode.,The run may be using the priority experiment instead of the latency-sensitivity experiment.,[latency_sensitivity_microbenchmark.contract.sh:18](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/contracts/latency_sensitivity_microbenchmark.contract.sh:18),The public Exp13 wrapper forces the shared harness to send `latency_sensitivity` hints.,": ""${PRIORITY_HINT_KIND:=latency_sensitivity}""",run contract / matrix CSV,whole run,all,hint kind
2,true,critical,harness,Harness builds low/high request specs,latest_priority_scheduling_requests.csv rows with both classes,low_rows=8; high_rows=4,The request burst contains both low and high sensitivity work.,The request table does not show both low and high request classes.,[run_priority_scheduling_probe.py:724](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/priority_scheduling/run_priority_scheduling_probe.py:724),The shared harness creates a mixed burst of low-sensitivity and high-sensitivity requests.,"priority_class=""low-priority""
priority_class=""high-priority""",priority request/proof CSV,all,"low-sensitivity, high-sensitivity",arrival_index
3,false,critical,harness,Harness attaches latency-sensitivity hint,agent_hints_latency_sensitivity / worker_latency_sensitivity,worker_latency_sensitivity_values=['not recorded']; hint_seen=False,Requests carried latency-sensitivity hint metadata.,The request/proof table did not show latency-sensitivity values.,[run_priority_scheduling_probe.py:489](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/priority_scheduling/run_priority_scheduling_probe.py:489),Each request gets `nvext.agent_hints.latency_sensitivity`; high requests get the high value and low requests get the low value.,"if args.hint_kind == ""latency_sensitivity"":
    payload[""latency_sensitivity""] = ...",priority request/proof CSV / matrix CSV,all,"low-sensitivity, high-sensitivity",hint value
4,true,critical,contract,Contract disables top-level priority,sent_top_prio false / top_prio_compat not_attempted,PRIORITY_TOP_LEVEL_PRIORITY_MODE=; sent_top_prio_values=['False'],Top-level priority was disabled so this isolates latency sensitivity.,"Top-level priority was sent, so the run is no longer a clean latency-sensitivity-only test.",[latency_sensitivity_microbenchmark.contract.sh:21](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/contracts/latency_sensitivity_microbenchmark.contract.sh:21),Exp13 isolates the latency-sensitivity hint by not sending OpenAI top-level `priority`.,": ""${PRIORITY_TOP_LEVEL_PRIORITY_MODE:=disable}""",run contract / priority request/proof CSV,whole run,all,top-level priority
5,false,warning,frontend,Frontend preprocesses request,frontend.request.preprocessed,count=0,Frontend preprocessing evidence was captured.,Frontend runtime logs were missing or did not show preprocessing.,[sglang_processor.py:436](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/frontend/sglang_processor.py:436),Dynamo frontend tokenizes/preprocesses the hinted request and logs the `agent_hints` payload.,"emit_runtime_event(...)
""frontend.request.preprocessed""",frontend log not captured,all,"low-sensitivity, high-sensitivity",frontend runtime
6,false,warning,frontend,Frontend dispatches request,frontend.request.dispatched,count=0,Frontend dispatch evidence was captured.,Frontend runtime logs did not show dispatch into the serving path.,[sglang_processor.py:579](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/frontend/sglang_processor.py:579),Dynamo frontend hands the preprocessed request to the router/worker path.,"emit_runtime_event(...)
""frontend.request.dispatched""",frontend log not captured,all,"low-sensitivity, high-sensitivity",frontend runtime
7,true,critical,worker,Worker receives request,worker.decode.request_received,log_count=0; runtime_match_rows=12,Dynamo worker received the latency-sensitivity requests.,Worker runtime logs did not show the request entering the decode handler.,[decode_handler.py:482](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/sglang/request_handlers/llm/decode_handler.py:482),Dynamo worker receives the request before generation starts.,"emit_runtime_event(...)
""worker.decode.request_received""",priority request/proof CSV,all,"low-sensitivity, high-sensitivity",worker runtime
8,false,critical,worker,Worker runtime payload includes agent hints,worker runtime JSON agent_hints.latency_sensitivity,worker_log_latency_sensitivity_count=0; row_values=['not recorded']; hint_seen=False,Worker runtime logs included the hint payload.,The worker event was emitted but did not include agent hints.,[decode_handler.py:56](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/sglang/request_handlers/llm/decode_handler.py:56),"The worker-side runtime event includes sanitized `agent_hints`, including `latency_sensitivity` when present.",**agent_hint_log_fields(request),priority request/proof CSV / matrix CSV,all,"low-sensitivity, high-sensitivity",worker hint payload
9,false,critical,worker,Runtime helper extracts agent hints,agent_hints_keys includes latency_sensitivity,worker_log_latency_sensitivity_count=0; row_values=['not recorded']; hint_seen=False,Worker runtime logs included the hint payload.,Runtime logging did not expose the latency-sensitivity hint.,[runtime_logging.py:145](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/upstream/dynamo/components/src/dynamo/common/runtime_logging.py:145),The shared runtime logger extracts and emits the hint keys and values.,"def agent_hint_log_fields(request: dict[str, Any])",priority request/proof CSV / matrix CSV,all,"low-sensitivity, high-sensitivity",runtime hint extraction
10,false,critical,postprocess,Report parses worker-side latency hint,worker_agent_hints_latency_sensitivity,worker_latency_sensitivity_values=['not recorded'],Postprocess recovered latency-sensitivity values from runtime logs.,Postprocess could not recover the latency-sensitivity hint from worker logs.,[run_priority_scheduling_probe.py:1273](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/priority_scheduling/run_priority_scheduling_probe.py:1273),Postprocess reads `agent_hints.latency_sensitivity` from worker runtime JSON.,"hint_latency_sensitivity = maybe_float(hints.get(""latency_sensitivity""))",priority request/proof CSV / matrix CSV,all,"low-sensitivity, high-sensitivity",worker hint value
11,false,critical,postprocess,Report copies latency hint onto rows,worker_latency_sensitivity,worker_latency_sensitivity_values=['not recorded'],Request rows expose worker-side latency-sensitivity values.,The proof table did not expose worker-side latency-sensitivity values.,[run_priority_scheduling_probe.py:1402](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/priority_scheduling/run_priority_scheduling_probe.py:1402),"The request rows receive `worker_agent_hints_latency_sensitivity`, which becomes the readable proof column.","row[""worker_agent_hints_latency_sensitivity""]",priority request/proof CSV / matrix CSV,all,"low-sensitivity, high-sensitivity",request/proof row
12,true,critical,worker,Report assigns attach order,attached_rank,attached_rank_rows=12,Worker attach order was reconstructed.,The proof table cannot compare arrival order against worker attach order.,[run_priority_scheduling_probe.py:1410](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/priority_scheduling/run_priority_scheduling_probe.py:1410),Postprocess sorts worker attach timestamps and assigns `attached_rank`.,"attached_rows.sort(...worker_request_attached_timestamp...)
row[""attached_rank""] = index",priority request/proof CSV,all,"low-sensitivity, high-sensitivity",attached_rank
13,true,critical,postprocess,Report computes high-sensitivity jump-ahead count,beat_low_attach / high_jump_ahead_count,matrix_jump_count=0; request_max_beat_low_attach=7,At least one high-sensitivity request attached before earlier low-sensitivity work.,High-sensitivity requests did not attach before earlier low-sensitivity requests.,[run_priority_scheduling_probe.py:1445](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/priority_scheduling/run_priority_scheduling_probe.py:1445),"For each high-sensitivity request, postprocess counts earlier low-sensitivity requests it attached before.","if low_attached is not None and low_attached > high_attached:
    attached_leapfrogs += 1",matrix CSV / priority proof CSV,high requests,high-sensitivity,jump-ahead count
14,false,critical,postprocess,Summary marks worker hint status,worker_hint_status=full / hint_seen=yes,matrix_hint_seen=False,The public matrix says the latency-sensitivity hint reached the worker.,The high-sensitivity rows did not show the expected worker-side hint value.,[run_priority_scheduling_probe.py:1596](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/priority_scheduling/run_priority_scheduling_probe.py:1596),"For latency-sensitivity runs, the summary checks the high rows for the expected float hint value.","request_float_status(...
field=""worker_agent_hints_latency_sensitivity""",matrix CSV,high requests,high-sensitivity,hint status
15,false,critical,postprocess,Microbenchmark report preserves hint kind,hint_kind=latency_sensitivity,matrix_hint_kind_latency=False,The public matrix identifies this as latency sensitivity.,The public matrix did not identify the run as latency sensitivity.,[build_priority_scheduling_microbenchmark_report.py:240](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/priority_scheduling/build_priority_scheduling_microbenchmark_report.py:240),The compact matrix records that this was a `latency_sensitivity` run.,"hint_kind = str(summary.get(""hint_kind"") or ""priority"")",matrix CSV,whole run,all,matrix hint kind
16,true,critical,postprocess,Microbenchmark report computes jump-ahead rate,high_jump_ahead_count / high_jump_ahead_rate,max_high_jump_ahead_rate=21.9%,The compact matrix reports a positive jump-ahead rate.,The compact matrix did not show a positive jump-ahead rate.,[build_priority_scheduling_microbenchmark_report.py:259](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/priority_scheduling/build_priority_scheduling_microbenchmark_report.py:259),The compact matrix converts raw leapfrogs into `high_jump_ahead_count` and `high_jump_ahead_rate`.,"""high_jump_ahead_count"": jump_count
""high_jump_ahead_rate"": percent_text(...)",matrix CSV,all,high-sensitivity,high_jump_ahead_rate
17,false,critical,postprocess,Matrix reports final verdict,result=latency_sensitivity_reordered,latency_result_reordered=False; any_reordered=False; format=legacy,The public matrix reports visible latency-sensitivity reordering.,The matrix did not show visible latency-sensitivity reordering.,[build_priority_scheduling_microbenchmark_report.py:247](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/priority_scheduling/build_priority_scheduling_microbenchmark_report.py:247),The public matrix marks the run reordered when at least one high-sensitivity request jumped ahead.,"result = f""{prefix}_reordered"" if jump_count > 0 else ""no_visible_reorder""",matrix CSV,all,high-sensitivity,result
