phase,decision_type,agent_component,runtime_component,agent_side_decision,runtime_side_response,evidence,alignment_judgment,agreement_status,worker_id,ttft_ms,decode_ms,end_to_end_ms
planning,request_dispatch,deepagents_app,frontend_dynamo,Sent one baseline model request for the task.,Frontend observed the request and routed it to worker 7587895148303932453.,frontend_event_found=True; worker_observation_found=True; request_id=agentbench-nodebb_20260528_112634::planning::0; worker_id=7587895148303932453,Request dispatch aligned with runtime routing evidence.,agreed,7587895148303932453,,,9339.763
planning,tool_availability,deepagents_app,frontend_dynamo,Expected a tool-capable execution path for coding work.,Frontend/runtime reported tool parser(s): hermes.,tool_parser_observed=True; parsers=hermes; tool_call_count=4,Runtime exposed a tool-capable path consistent with agent expectations.,agreed,7587895148303932453,,,9339.763
planning,tool_use,deepagents_app,frontend_dynamo,"Chose tool calls: ls, read_file.","Runtime returned tool results for: ls, read_file.","tool_call_count=4; tool_calls=ls, read_file; tool_results=ls, read_file",Agent tool-use decisions aligned with runtime tool execution.,agreed,7587895148303932453,,,9339.763
planning,runtime_execution,deepagents_app,sglang_worker,Expected the request to execute on a routed worker.,Worker showed prefill activity only.,prefill_seen=True; decode_seen=False; cached_token_count=0; recomputed_prefix_tokens=9374,Worker execution evidence aligned with the model request.,agreed,7587895148303932453,,,9339.763
planning,stop_behavior,deepagents_app,frontend_dynamo/sglang_worker,Produced a final response and ended the run.,Run ended with finish_reason=stop.,finish_reason=stop; response_preview=# Phased SWE-bench Agent Run ## planning ```json ``` <|im_start|> ## execution The `src/user/index.js` file contains the main user-relate...,Agent stopped in a way that is consistent with runtime/tool outcomes.,agreed,7587895148303932453,,,9339.763
execution,request_dispatch,deepagents_app,frontend_dynamo,Sent one baseline model request for the task.,Frontend observed the request and routed it to worker 7587895148303932453.,frontend_event_found=True; worker_observation_found=True; request_id=agentbench-nodebb_20260528_112634::execution::0; worker_id=7587895148303932453,Request dispatch aligned with runtime routing evidence.,agreed,7587895148303932453,,,15261.351
execution,tool_availability,deepagents_app,frontend_dynamo,Expected a tool-capable execution path for coding work.,Frontend/runtime reported tool parser(s): hermes.,tool_parser_observed=True; parsers=hermes; tool_call_count=4,Runtime exposed a tool-capable path consistent with agent expectations.,agreed,7587895148303932453,,,15261.351
execution,tool_use,deepagents_app,frontend_dynamo,"Chose tool calls: ls, read_file.","Runtime returned tool results for: ls, read_file.","tool_call_count=4; tool_calls=ls, read_file; tool_results=ls, read_file",Agent tool-use decisions aligned with runtime tool execution.,agreed,7587895148303932453,,,15261.351
execution,runtime_execution,deepagents_app,sglang_worker,Expected the request to execute on a routed worker.,Worker showed prefill activity only.,prefill_seen=True; decode_seen=False; cached_token_count=0; recomputed_prefix_tokens=12172,Worker execution evidence aligned with the model request.,agreed,7587895148303932453,,,15261.351
execution,stop_behavior,deepagents_app,frontend_dynamo/sglang_worker,Produced a final response and ended the run.,Run ended with finish_reason=stop.,finish_reason=stop; response_preview=# Phased SWE-bench Agent Run ## planning ```json ``` <|im_start|> ## execution The `src/user/index.js` file contains the main user-relate...,Agent stopped in a way that is consistent with runtime/tool outcomes.,agreed,7587895148303932453,,,15261.351
patch_generation,request_dispatch,deepagents_app,frontend_dynamo,Sent one baseline model request for the task.,Frontend observed the request and routed it to worker 7587895148303932453.,frontend_event_found=True; worker_observation_found=True; request_id=agentbench-nodebb_20260528_112634::patch_generation::0; worker_id=7587895148303932453,Request dispatch aligned with runtime routing evidence.,agreed,7587895148303932453,,,1599.114
patch_generation,tool_availability,deepagents_app,frontend_dynamo,Expected a tool-capable execution path for coding work.,Frontend/runtime reported tool parser(s): hermes.,tool_parser_observed=True; parsers=hermes; tool_call_count=4,Runtime exposed a tool-capable path consistent with agent expectations.,agreed,7587895148303932453,,,1599.114
patch_generation,tool_use,deepagents_app,frontend_dynamo,"Chose tool calls: ls, read_file.","Runtime returned tool results for: ls, read_file.","tool_call_count=4; tool_calls=ls, read_file; tool_results=ls, read_file",Agent tool-use decisions aligned with runtime tool execution.,agreed,7587895148303932453,,,1599.114
patch_generation,runtime_execution,deepagents_app,sglang_worker,Expected the request to execute on a routed worker.,Worker showed prefill activity only.,prefill_seen=True; decode_seen=False; cached_token_count=0; recomputed_prefix_tokens=7191,Worker execution evidence aligned with the model request.,agreed,7587895148303932453,,,1599.114
patch_generation,stop_behavior,deepagents_app,frontend_dynamo/sglang_worker,Produced a final response and ended the run.,Run ended with finish_reason=stop.,finish_reason=stop; response_preview=# Phased SWE-bench Agent Run ## planning ```json ``` <|im_start|> ## execution The `src/user/index.js` file contains the main user-relate...,Agent stopped in a way that is consistent with runtime/tool outcomes.,agreed,7587895148303932453,,,1599.114
review,request_dispatch,deepagents_app,frontend_dynamo,Sent one baseline model request for the task.,Frontend observed the request and routed it to worker 7587895148303932453.,frontend_event_found=True; worker_observation_found=True; request_id=agentbench-nodebb_20260528_112634::review::0; worker_id=7587895148303932453,Request dispatch aligned with runtime routing evidence.,agreed,7587895148303932453,,,3837.058
review,tool_availability,deepagents_app,frontend_dynamo,Expected a tool-capable execution path for coding work.,Frontend/runtime reported tool parser(s): hermes.,tool_parser_observed=True; parsers=hermes; tool_call_count=4,Runtime exposed a tool-capable path consistent with agent expectations.,agreed,7587895148303932453,,,3837.058
review,tool_use,deepagents_app,frontend_dynamo,"Chose tool calls: ls, read_file.","Runtime returned tool results for: ls, read_file.","tool_call_count=4; tool_calls=ls, read_file; tool_results=ls, read_file",Agent tool-use decisions aligned with runtime tool execution.,agreed,7587895148303932453,,,3837.058
review,runtime_execution,deepagents_app,sglang_worker,Expected the request to execute on a routed worker.,Worker showed prefill activity only.,prefill_seen=True; decode_seen=False; cached_token_count=0; recomputed_prefix_tokens=7305,Worker execution evidence aligned with the model request.,agreed,7587895148303932453,,,3837.058
review,stop_behavior,deepagents_app,frontend_dynamo/sglang_worker,Produced a final response and ended the run.,Run ended with finish_reason=stop.,finish_reason=stop; response_preview=# Phased SWE-bench Agent Run ## planning ```json ``` <|im_start|> ## execution The `src/user/index.js` file contains the main user-relate...,Agent stopped in a way that is consistent with runtime/tool outcomes.,agreed,7587895148303932453,,,3837.058
